path/term	UP/DOWN	correlation	p.value	FDRp.value
negative regulation of cGMP-mediated signaling	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of fibroblast growth factor receptor signaling pathway	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
response to magnesium ion	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
engulfment of apoptotic cell	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of nitric oxide mediated signal transduction	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of plasminogen activation	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of fibroblast migration	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
regulation of cGMP metabolic process	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of interleukin-12 production	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of macrophage activation	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of chemotaxis	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
response to glucose	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of tumor necrosis factor biosynthetic process	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of fibrinolysis	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of endothelial cell chemotaxis	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of cell-matrix adhesion	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of blood coagulation	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of endothelial cell migration	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of transforming growth factor beta receptor signaling pathway	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of reactive oxygen species metabolic process	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of blood vessel endothelial cell migration	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
peptide cross-linking	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of endothelial cell proliferation	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of translation	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of endothelial cell migration	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
response to calcium ion	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
cell migration	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of cell migration	UP	0.311407928012161	0.0504644932067804	0.0504644932067804
positive regulation of blood vessel endothelial cell migration	UP	0.303530048789554	0.0569086981341025	0.0569086981341025
cell cycle arrest	UP	0.299218735543911	0.0607041030166771	0.0607041030166771
JNK cascade	DOWN	-0.297227661455196	0.0625235512362525	0.0625235512362525
JUN phosphorylation	DOWN	-0.297227661455196	0.0625235512362525	0.0625235512362525
regulation of protein localization	DOWN	-0.297227661455196	0.0625235512362525	0.0625235512362525
peptidyl-threonine phosphorylation	DOWN	-0.297227661455196	0.0625235512362525	0.0625235512362525
response to UV	DOWN	-0.297227661455196	0.0625235512362525	0.0625235512362525
negative regulation of protein binding	DOWN	-0.297227661455196	0.0625235512362525	0.0625235512362525
cellular response to lipopolysaccharide	DOWN	-0.297147894670208	0.0625973341580521	0.0625973341580521
inflammatory response	UP	0.276402015876535	0.084257240360154	0.084257240360154
regulation of oxidoreductase activity	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
oxidation-reduction process	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
positive regulation of transcription regulatory region DNA binding	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
response to interleukin-1	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
positive regulation of osteoclast differentiation	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
activation of protein kinase activity	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
protein K63-linked ubiquitination	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
positive regulation of I-kappaB kinase/NF-kappaB signaling	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
protein autoubiquitination	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
protein polyubiquitination	DOWN	-0.275214195813985	0.0856543475690764	0.0856543475690764
cleavage furrow formation	DOWN	-0.268191163279943	0.0942852529758742	0.0942852529758742
positive regulation of lipase activity	DOWN	-0.268191163279943	0.0942852529758742	0.0942852529758742
microtubule cytoskeleton organization	UP	0.261236982475294	0.103475956753633	0.103475956753633
positive regulation of microtubule polymerization	UP	0.261236982475294	0.103475956753633	0.103475956753633
positive regulation of axon extension	UP	0.261236982475294	0.103475956753633	0.103475956753633
positive regulation of transcription from RNA polymerase II promoter	DOWN	-0.258198221534933	0.107700231075271	0.107700231075271
intracellular signal transduction	DOWN	-0.25791764690427	0.108096778299626	0.108096778299626
protein autophosphorylation	DOWN	-0.252805324026963	0.115518002759518	0.115518002759518
phospholipid metabolic process	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
multicellular organismal lipid catabolic process	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
phosphatidylcholine metabolic process	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
fatty acid biosynthetic process	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
innate immune response in mucosa	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
positive regulation of DNA replication	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
antibacterial humoral response	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
defense response to Gram-positive bacterium	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
phosphatidic acid metabolic process	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
positive regulation of ERK1 and ERK2 cascade	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
positive regulation of phospholipase activity	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
lysophospholipid transport	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
axon guidance	DOWN	-0.240882177803143	0.134312592762957	0.134312592762957
activation of MAPK activity	DOWN	-0.238244870530637	0.138760052022482	0.138760052022482
positive regulation of NF-kappaB transcription factor activity	DOWN	-0.22673618223609	0.159447113130079	0.159447113130079
regulation of Ras protein signal transduction	DOWN	-0.226306843842125	0.16025993650802	0.16025993650802
regulation of G-protein coupled receptor protein signaling pathway	DOWN	-0.226306843842125	0.16025993650802	0.16025993650802
phospholipase C-activating G-protein coupled receptor signaling pathway	DOWN	-0.226306843842125	0.16025993650802	0.16025993650802
regulation of protein kinase activity	DOWN	-0.226306843842125	0.16025993650802	0.16025993650802
integrin-mediated signaling pathway	DOWN	-0.222647734173911	0.167309664994852	0.167309664994852
protein folding	DOWN	-0.222647734173911	0.167309664994852	0.167309664994852
cell-matrix adhesion	DOWN	-0.222647734173911	0.167309664994852	0.167309664994852
substrate adhesion-dependent cell spreading	DOWN	-0.222647734173911	0.167309664994852	0.167309664994852
cell morphogenesis	DOWN	-0.209621665239372	0.194217683422881	0.194217683422881
hippo signaling	DOWN	-0.209621665239372	0.194217683422881	0.194217683422881
positive regulation of protein binding	DOWN	-0.209621665239372	0.194217683422881	0.194217683422881
apoptotic process	DOWN	-0.209621665239372	0.194217683422881	0.194217683422881
positive regulation of transcription, DNA-templated	DOWN	-0.208213807420631	0.197298498807034	0.197298498807034
positive regulation of JUN kinase activity	DOWN	-0.201967621651702	0.211380829713645	0.211380829713645
cellular response to cAMP	DOWN	-0.186760871960312	0.248536339431381	0.248536339431381
protein transport	DOWN	-0.186760871960312	0.248536339431381	0.248536339431381
positive regulation of skeletal muscle cell differentiation	DOWN	-0.185997843426252	0.250509378013672	0.250509378013672
negative regulation of ossification	DOWN	-0.185997843426252	0.250509378013672	0.250509378013672
cellular response to parathyroid hormone stimulus	DOWN	-0.185997843426252	0.250509378013672	0.250509378013672
positive regulation of cardiac muscle cell differentiation	DOWN	-0.185997843426252	0.250509378013672	0.250509378013672
cellular response to transforming growth factor beta stimulus	DOWN	-0.185997843426252	0.250509378013672	0.250509378013672
positive regulation of gene expression	DOWN	-0.185997843426252	0.250509378013672	0.250509378013672
negative regulation of apoptotic process	UP	0.180595412734367	0.264778962742718	0.264778962742718
positive regulation of intracellular estrogen receptor signaling pathway	DOWN	-0.177217532389169	0.27396897008122	0.27396897008122
negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis	DOWN	-0.177217532389169	0.27396897008122	0.27396897008122
positive regulation of protein tyrosine kinase activity	DOWN	-0.177217532389169	0.27396897008122	0.27396897008122
regulation of actin filament polymerization	DOWN	-0.177217532389169	0.27396897008122	0.27396897008122
metabolic process	DOWN	-0.173248371074923	0.285031876975617	0.285031876975617
negative regulation of sequence-specific DNA binding transcription factor activity	DOWN	-0.163766357763556	0.312618126369942	0.312618126369942
ATP-dependent chromatin remodeling	DOWN	-0.160341942275063	0.32298201071003	0.32298201071003
negative regulation of interferon-beta production	DOWN	-0.160073122056963	0.323804584212894	0.323804584212894
negative regulation of gene expression	DOWN	-0.160073122056963	0.323804584212894	0.323804584212894
peptidyl-serine phosphorylation	DOWN	-0.159936562510635	0.324222949436018	0.324222949436018
protein phosphorylation	DOWN	-0.14055843105148	0.386991281671298	0.386991281671298
cellular response to reactive oxygen species	DOWN	-0.137273710747988	0.398292901702417	0.398292901702417
leukocyte cell-cell adhesion	DOWN	-0.135139336152446	0.405737720315911	0.405737720315911
regulation of collagen catabolic process	DOWN	-0.135139336152446	0.405737720315911	0.405737720315911
positive regulation of establishment of protein localization to plasma membrane	DOWN	-0.135139336152446	0.405737720315911	0.405737720315911
regulation of peptidyl-tyrosine phosphorylation	DOWN	-0.135139336152446	0.405737720315911	0.405737720315911
neutrophil chemotaxis	DOWN	-0.135139336152446	0.405737720315911	0.405737720315911
MAPK cascade	DOWN	-0.133849145665696	0.410276394930656	0.410276394930656
calcineurin-NFAT signaling cascade	DOWN	-0.133110809823668	0.412886710385755	0.412886710385755
response to epidermal growth factor	UP	0.131419100772111	0.418903066969088	0.418903066969088
ERBB signaling pathway	UP	0.131419100772111	0.418903066969088	0.418903066969088
ERK1 and ERK2 cascade	UP	0.131419100772111	0.418903066969088	0.418903066969088
positive regulation of peptidyl-threonine phosphorylation	UP	0.131419100772111	0.418903066969088	0.418903066969088
mitotic spindle organization	UP	0.129791926142594	0.424736337063811	0.424736337063811
microtubule depolymerization	UP	0.129791926142594	0.424736337063811	0.424736337063811
actin cytoskeleton reorganization	DOWN	-0.121596710326972	0.454798701667639	0.454798701667639
positive regulation of apoptotic process	DOWN	-0.114668791279283	0.481083208139346	0.481083208139346
cellular response to lithium ion	UP	0.11281667188898	0.488242122742875	0.488242122742875
cellular response to indole-3-methanol	UP	0.11281667188898	0.488242122742875	0.488242122742875
protein localization to plasma membrane	UP	0.11281667188898	0.488242122742875	0.488242122742875
single organismal cell-cell adhesion	UP	0.11281667188898	0.488242122742875	0.488242122742875
positive regulation of protein kinase B signaling	UP	0.107275575235492	0.509984765571835	0.509984765571835
regulation of cytokine production involved in inflammatory response	DOWN	-0.105525115995312	0.516952972943361	0.516952972943361
response to stress	DOWN	-0.105525115995312	0.516952972943361	0.516952972943361
myoblast differentiation	DOWN	-0.105525115995312	0.516952972943361	0.516952972943361
response to osmotic stress	DOWN	-0.100938028574995	0.535434977652127	0.535434977652127
transport	DOWN	-0.0949255323781862	0.560133965343999	0.560133965343999
regulation of GTPase activity	DOWN	-0.0949255323781862	0.560133965343999	0.560133965343999
activation of MAPKK activity	DOWN	-0.094338615638729	0.562573069040204	0.562573069040204
positive regulation of peptidyl-serine phosphorylation	DOWN	-0.0941554256326837	0.563335375050316	0.563335375050316
response to UV-A	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
positive regulation of cell growth	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
positive regulation of sequence-specific DNA binding transcription factor activity	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
positive regulation of protein phosphorylation	DOWN	-0.0935657841337424	0.565792282276778	0.565792282276778
regulation of catalytic activity	DOWN	-0.0875789832642263	0.591013165687502	0.591013165687502
cytokinesis	DOWN	-0.0849027276485167	0.602445653045627	0.602445653045627
membrane raft localization	DOWN	-0.0849027276485167	0.602445653045627	0.602445653045627
regulation of exocytosis	DOWN	-0.0849027276485167	0.602445653045627	0.602445653045627
positive regulation of filopodium assembly	DOWN	-0.0849027276485167	0.602445653045627	0.602445653045627
cellular response to starvation	DOWN	-0.0849027276485167	0.602445653045627	0.602445653045627
positive regulation of p38MAPK cascade	DOWN	-0.0815017633169372	0.617110142340457	0.617110142340457
transcription from RNA polymerase II promoter	DOWN	-0.076902651849069	0.63717544591305	0.63717544591305
negative regulation of determination of dorsal identity	DOWN	-0.068216195594416	0.675768691949802	0.675768691949802
negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding	DOWN	-0.068216195594416	0.675768691949802	0.675768691949802
response to unfolded protein	DOWN	-0.068216195594416	0.675768691949802	0.675768691949802
negative regulation of CREB transcription factor activity	DOWN	-0.068216195594416	0.675768691949802	0.675768691949802
cell redox homeostasis	DOWN	-0.068216195594416	0.675768691949802	0.675768691949802
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	DOWN	-0.068216195594416	0.675768691949802	0.675768691949802
mRNA transcription from RNA polymerase II promoter	DOWN	-0.068216195594416	0.675768691949802	0.675768691949802
proteasome-mediated ubiquitin-dependent protein catabolic process	DOWN	-0.068216195594416	0.675768691949802	0.675768691949802
regulation of transcription, DNA-templated	DOWN	-0.0681688756524948	0.675981301232239	0.675981301232239
protein complex assembly	UP	0.0671166820264601	0.68071520634318	0.68071520634318
negative regulation of neuron apoptotic process	UP	0.064161907508811	0.694073184297505	0.694073184297505
negative regulation of calcidiol 1-monooxygenase activity	DOWN	-0.064150669737654	0.694124165788437	0.694124165788437
positive regulation of hyaluronan biosynthetic process	DOWN	-0.064150669737654	0.694124165788437	0.694124165788437
response to UV-B	DOWN	-0.064150669737654	0.694124165788437	0.694124165788437
nucleotide-binding oligomerization domain containing 2 signaling pathway	DOWN	-0.064150669737654	0.694124165788437	0.694124165788437
response to organic substance	DOWN	-0.064150669737654	0.694124165788437	0.694124165788437
cellular response to interleukin-1	DOWN	-0.064150669737654	0.694124165788437	0.694124165788437
cellular response to hydrogen peroxide	DOWN	-0.064150669737654	0.694124165788437	0.694124165788437
cellular response to tumor necrosis factor	DOWN	-0.064150669737654	0.694124165788437	0.694124165788437
cytokine-mediated signaling pathway	DOWN	-0.064150669737654	0.694124165788437	0.694124165788437
suppression by virus of host apoptotic process	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
negative regulation of execution phase of apoptosis	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
negative regulation of intrinsic apoptotic signaling pathway	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
negative regulation of establishment of protein localization to plasma membrane	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
regulation of mitochondrial membrane permeability	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
regulation of mitochondrial membrane potential	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
release of cytochrome c from mitochondria	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
response to cytokine	DOWN	-0.0610776775915039	0.708114331379941	0.708114331379941
cellular response to DNA damage stimulus	DOWN	-0.0597946407327463	0.713983924363364	0.713983924363364
negative regulation of transcription, DNA-templated	DOWN	-0.0596805281507923	0.71450675612629	0.71450675612629
positive regulation of stress fiber assembly	DOWN	-0.0568148230006085	0.727678224054258	0.727678224054258
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	DOWN	-0.0533043406917318	0.74391874537998	0.74391874537998
SMAD protein signal transduction	DOWN	-0.0519862645236282	0.750045331217019	0.750045331217019
transforming growth factor beta receptor signaling pathway	DOWN	-0.0519862645236282	0.750045331217019	0.750045331217019
histone H3 deacetylation	DOWN	-0.0515735780961148	0.751966685663163	0.751966685663163
positive regulation of cell proliferation	DOWN	-0.0507550809274634	0.755781741502067	0.755781741502067
phosphorylation	DOWN	-0.0503039246831796	0.757887055821914	0.757887055821914
negative regulation of transcription from RNA polymerase II promoter	DOWN	-0.0496487121471045	0.760947664204747	0.760947664204747
negative regulation of protein complex assembly	DOWN	-0.048950801316979	0.764211676790038	0.764211676790038
chromosome organization	UP	0.0482214981063353	0.76762680765872	0.76762680765872
cellular iron ion homeostasis	UP	0.0482214981063353	0.76762680765872	0.76762680765872
response to gamma radiation	UP	0.0482214981063353	0.76762680765872	0.76762680765872
positive regulation of response to DNA damage stimulus	UP	0.0482214981063353	0.76762680765872	0.76762680765872
negative regulation of cell division	UP	0.0482214981063353	0.76762680765872	0.76762680765872
negative regulation of fibroblast proliferation	UP	0.0482214981063353	0.76762680765872	0.76762680765872
regulation of gene expression	UP	0.0482214981063353	0.76762680765872	0.76762680765872
positive regulation of epithelial cell proliferation	UP	0.0482214981063353	0.76762680765872	0.76762680765872
positive regulation of fibroblast proliferation	UP	0.0482214981063353	0.76762680765872	0.76762680765872
cellular response to drug	UP	0.0482214981063353	0.76762680765872	0.76762680765872
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	UP	0.0482214981063353	0.76762680765872	0.76762680765872
chromatin remodeling	UP	0.0482214981063353	0.76762680765872	0.76762680765872
canonical Wnt signaling pathway	UP	0.0482214981063353	0.76762680765872	0.76762680765872
negative regulation of cell proliferation	DOWN	-0.0437755779368757	0.788537422152221	0.788537422152221
cell division	DOWN	-0.0433681538824344	0.7904612501635	0.7904612501635
DNA damage induced protein phosphorylation	UP	0.0394935702416762	0.808816519075129	0.808816519075129
peptidyl-tyrosine autophosphorylation	UP	0.0394935702416762	0.808816519075129	0.808816519075129
negative regulation of signal transduction	DOWN	-0.0360824370141572	0.825060627820175	0.825060627820175
Ras protein signal transduction	DOWN	-0.0360824370141572	0.825060627820175	0.825060627820175
protein ubiquitination	DOWN	-0.0360824370141572	0.825060627820175	0.825060627820175
oligodendrocyte apoptotic process	UP	0.0253135230555974	0.87678598224952	0.87678598224952
DNA damage response, signal transduction by p53 class mediator	UP	0.0253135230555974	0.87678598224952	0.87678598224952
ER overload response	UP	0.0253135230555974	0.87678598224952	0.87678598224952
chromatin assembly	UP	0.0253135230555974	0.87678598224952	0.87678598224952
cellular response to glucose starvation	UP	0.0253135230555974	0.87678598224952	0.87678598224952
protein localization	UP	0.0253135230555974	0.87678598224952	0.87678598224952
DNA strand renaturation	UP	0.0253135230555974	0.87678598224952	0.87678598224952
positive regulation of protein oligomerization	UP	0.0253135230555974	0.87678598224952	0.87678598224952
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	UP	0.0253135230555974	0.87678598224952	0.87678598224952
regulation of apoptotic process	UP	0.0253135230555974	0.87678598224952	0.87678598224952
positive regulation of release of cytochrome c from mitochondria	UP	0.0253135230555974	0.87678598224952	0.87678598224952
glycerophospholipid catabolic process	DOWN	-0.0143222698815252	0.930103962154019	0.930103962154019
necroptotic process	DOWN	-0.0139419464379943	0.93195564495211	0.93195564495211
T cell apoptotic process	DOWN	-0.0139419464379943	0.93195564495211	0.93195564495211
necroptotic signaling pathway	DOWN	-0.0139419464379943	0.93195564495211	0.93195564495211
apoptotic signaling pathway	DOWN	-0.0139419464379943	0.93195564495211	0.93195564495211
extrinsic apoptotic signaling pathway via death domain receptors	DOWN	-0.0139419464379943	0.93195564495211	0.93195564495211
extrinsic apoptotic signaling pathway	DOWN	-0.0139419464379943	0.93195564495211	0.93195564495211
regulation of respiratory burst	DOWN	-0.0118618514718196	0.942089016816969	0.942089016816969
positive regulation of substrate adhesion-dependent cell spreading	DOWN	-0.0118618514718196	0.942089016816969	0.942089016816969
negative regulation of interleukin-23 production	DOWN	-0.0118618514718196	0.942089016816969	0.942089016816969
positive regulation of lamellipodium assembly	DOWN	-0.0118618514718196	0.942089016816969	0.942089016816969
cell motility	DOWN	-0.0118618514718196	0.942089016816969	0.942089016816969
ruffle organization	DOWN	-0.0118618514718196	0.942089016816969	0.942089016816969
positive regulation of focal adhesion assembly	DOWN	-0.0118618514718196	0.942089016816969	0.942089016816969
cell projection assembly	UP	0.00551324981982436	0.973065838425282	0.973065838425282
positive regulation of cell adhesion mediated by integrin	UP	0.00551324981982436	0.973065838425282	0.973065838425282
actin cytoskeleton organization	UP	0.00551324981982436	0.973065838425282	0.973065838425282
histone acetylation	DOWN	-0.00548026083071921	0.973226942972087	0.973226942972087
activation of JUN kinase activity	UP	0.00439597109999635	0.978522710849432	0.978522710849432
positive regulation of JNK cascade	UP	0.00439597109999635	0.978522710849432	0.978522710849432
